Date,Start,End,Duration,Status,Activity,Description,Competencies,Edit,Coach Notes,Delete,Submission History
17/12/2025,9:00 AM,9:45 AM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how to explicitly define display components using specific Panes such as pn.pane.Markdown, pn.pane.Vega, and pn.pane.DataFrame rather than relying on automated heuristic selection. I did this during a technical deep-dive into the pn.pane namespace within the Panel library to achieve precise control over data rendering. I explored the importance of the Component Gallery for navigating specialized display types and practiced incorporating metadata-driven UI elements like pn.pane.Alert for information callouts.

This has given me a better understanding of the trade-offs between the ease of use provided by generic functions and the performance benefits of explicit object typing. These skills enhance my ability to build high-performance data applications that handle complex, multi-modal data (audio, images, and plots) with greater stability.",K11 B4 S15 S13 K5," - "," - "," - "," - "
16/12/2025,4:30 PM,5:30 PM,60,Approved,Self-led Learning outside of EDUKATE,"I learned how to utilize the pn.panel() function to programmatically convert diverse Python objects—including strings, DataFrames, and Altair plots—into viewable dashboard components. I explored the use of pn.extension() to load necessary JavaScript dependencies (like Vega for Altair) and practiced using .servable() to transition components from a local development environment to a web-hosted application.
This has given me a better understanding of the heuristic algorithms used by dashboarding frameworks to determine the best display format for different data structures. This has improved my confidence in using VS Code for front-end data representation and allows me to understand the difference between standard notebook rendering and serving an interactive app. These skills enhance my ability to create functional prototypes that bridge the gap between raw data analysis and stakeholder-accessible interfaces.",S14 K11 K14 S15 B2," - "," - "," - "," - "
16/12/2025,3:30 PM,4:30 PM,60,Approved,Self-led Learning outside of EDUKATE,"I learned how to configure my VS Code environment to support the Panel library and gained an introduction to the basic workflow of serving a Python script as a local web app. I learned the specific roles of pn.extension() for environment configuration and .servable() for identifying displayable components. I also improved my insight into using the terminal to run a local Bokeh server and how to use the --dev flag for real-time updates.

This has given me a better understanding of how Python code can be transitioned from a static script into a browser-based format. This improved confidence in my local setup allows me to understand the difference between standard code execution and server-side rendering. These fundamental skills enhance my ability to test small snippets of interactive code locally before attempting to build more complex data visualisations.",B2 K11 S15 B1," - "," - "," - "," - "
10/12/2025,12:00 PM,3:30 PM,210,Approved,Live Sessions,"I attended a workshop and learned how to extend my data visualization capabilities by performing a deep-dive analysis on the Beatles discography dataset using Seaborn and Matplotlib. I explored the practical application of statistical visualization techniques, such as using KDE (Kernel Density Estimate) plots to understand feature distributions, Pairplots to identify multi-variable relationships, and Regplots to model linear regressions between song attributes. I gained an introduction to the ""Human-in-the-loop"" aspect of data design, specifically how adjusting colour palettes, font sizes, and axis labels can significantly reduce the cognitive load on the audience and make the insights more accessible.

This has given me a better understanding of the iterative nature of the Data Analytics Lifecycle, specifically the ""Visualize"" and ""Evaluate"" stages. Allows me to understand the difference between a default chart generated by code and a polished, professional visualization that is tailored to a specific stakeholder's domain context. These skills enhance my ability to select the most appropriate data tools - comparing the rapid plotting of Pandas with the high-level aesthetics of Seaborn - to achieve an optimum outcome that is both analytically rigorous and visually intuitive.",S14 B4 B3 S15 S5 K14 S10 K7 K13," - "," - "," - "," - "
10/12/2025,10:30 AM,11:00 AM,30,Approved,Self-led Learning on EDUKATE,"I learned about the diverse landscape of dashboarding tools beyond the primary market leaders, specifically investigating platforms tailored for real-time monitoring, embedded analytics, and user-led data exploration. I explored Grafana for its strengths in real-time system monitoring (DevOps/MLOps), Looker Studio for its accessibility to non-technical users within the Google Cloud ecosystem, and Metabase for its focus on self-service analytics. I also gained an introduction to Sisense and Qlik Sense, noting their capabilities in enterprise-grade predictive analytics and embedded reporting. Finally, I improved my insight into the advantages of using Python libraries like Dash, Streamlit, and Panel to build local, secure dashboards without the need for third-party cloud hosting.

This has given me a better understanding of how to match a specific business need—such as high-frequency data monitoring or customer-facing embedded reports—with the most appropriate technical platform. Allows me to understand the difference between open-source self-hosted solutions (which offer maximum data privacy) and managed cloud platforms (which offer ease of use but require strict data governance). These skills enhance my ability to provide resourceful recommendations to my organization, ensuring that sensitive business data is handled securely while remaining accessible to the relevant stakeholders.",B2 B1 S15 K11," - "," - "," - "," - "
10/12/2025,10:00 AM,10:30 AM,30,Approved,Self-led Learning on EDUKATE,"I learned the foundational architecture of the Panel library, a member of the HoloViz ecosystem designed for creating interactive web applications and dashboards directly from Python. I explored the three core components: Widgets (for user input control), Panes (for displaying diverse media like plots, images, and Markdown), and Panels (layout containers like Row, Column, Tabs, and GridSpec). I gained an introduction to the workflow of connecting these components using custom functions to create reactive dashboards, and I improved my insight into how Panel extends the capabilities of ipywidgets to offer a more robust, server-ready deployment environment.

This has given me a better understanding of the modular nature of dashboard construction, where individual visual objects are wrapped in functions to enable dynamic updates. Allows me to understand the difference between static data exploration and building a persistent, browser-based tool that allows stakeholders to filter and manipulate data in real-time. These skills, combined with my previous training in pn.rx and templates, enhance my ability to design highly structured interfaces that are both functional in a Jupyter Notebook and deployable as standalone secure web servers.",K11 S15 S14 B1," - "," - "," - "," - "
10/12/2025,9:30 AM,10:00 AM,30,Approved,Self-led Learning on EDUKATE,"I learned the fundamental role of Business Intelligence (BI) tools, specifically focusing on the market leaders Power BI and Tableau. I explored the broader definition of Business Intelligence as an umbrella term encompassing data mining, performance benchmarking, and descriptive analytics. I gained an introduction to the specific ecosystems supporting these tools—noting Power BI's integration within the Microsoft Power Platform and Tableau's connection to the Salesforce ecosystem—and improved my insight into the licensing and privacy considerations of their free versions, such as Power BI Desktop and the open-access nature of Tableau Public.

This has given me a better understanding of how organizational infrastructure often dictates the choice of analytical software. Allows me to understand the difference between using a specialized BI platform for enterprise-wide reporting versus using standalone libraries for bespoke analysis. These skills enhance my readiness to evaluate the tools available within my own workplace and provide me with the foundational knowledge needed to advocate for appropriate software access to make my data analysis more accessible to non-technical stakeholders.",B1 K11 S15," - "," - "," - "," - "
10/12/2025,9:00 AM,9:30 AM,30,Approved,Self-led Learning on EDUKATE,"I learned the fundamental definition and purpose of data dashboards as centralized tools for consolidating disparate data sources into a single, cohesive interface. I explored the hierarchical classification of dashboards, gaining an introduction to Strategic (high-level KPIs), Tactical/Analytical (mid-level performance tracking), and Operational (real-time process monitoring) subtypes. I also improved my insight into the ecosystem of dashboarding software—including Python's Panel library, Power BI, and Tableau—and how these tools serve both technical and non-technical stakeholders by translating complex data into actionable business narratives.

This has given me a better understanding of the functional role dashboards play in answering the ""what,"" ""why,"" and ""what next"" of business performance. Allows me to understand the difference between a single data visualization (a focused view of a specific metric) and a comprehensive dashboard (a collection of related visuals that explain a broader business situation). These skills enhance my ability to align my technical development with organizational needs, ensuring I select the right dashboard type and software to help stakeholders make informed, data-driven decisions.",K7 K11 S12 S14 B1," - "," - "," - "," - "
26/11/2025,5:15 PM,6:00 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how to programmatically extract text strings from HTML tags and manage nested elements (such as span tags within h1 tags) using separators to maintain data integrity. I did this by completing a technical lesson on Web Scraping using the Python library BeautifulSoup, specifically focusing on the .get_text() method. This method combines the text from parent and child tags into a single string.

This has improved my confidence in handling unstructured data sources. I can now apply these techniques to parse information from web pages, allowing me to gather and clean external data for analysis where structured datasets are not readily available in the workplace. This makes it much easier to cleanly collect and analyse textual data from web pages for tasks like data analysis.",K3 B4 K11 S14 S15 B2," - "," - "," - "," - "
26/11/2025,4:30 PM,5:15 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned that BeautifulSoup’s .select() method allows us to use CSS selectors—just like in a .css file—to locate elements in the HTML. This is a powerful alternative to .find() and .find_all().

Key takeaways:

Use class selectors with a period (.) to select elements by class, e.g., .recipeLink.

Use ID selectors with a hash (#) to select elements by ID, e.g., #selected.

Use nested selectors to target elements within other elements, e.g., .recipeLink > a to select all links inside .recipeLink divs.

Loops can be combined with .select() to follow links and create new soup objects for each linked page.

This approach makes scraping more intuitive when we already understand CSS, and it enables targeting complex HTML structures efficiently.",B2 S15 S14 K11 K3 B4," - "," - "," - "," - "
26/11/2025,3:45 PM,4:30 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned that BeautifulSoup offers two primary methods for locating elements: .find() and .find_all(). .find() returns the first occurrence of a tag, while .find_all() returns a list of all matching tags. Both methods are much more flexible than directly accessing tags with the soup object.

I explored advanced selection techniques:

Using regular expressions to match patterns in tag names, such as ""h[1-9]"" for headings or ""[ou]l"" for  and  lists.

Passing lists of tags to find multiple types of elements at once.

Matching elements by attributes using dictionaries, such as classes or IDs.

Creating custom functions to implement more complex selection logic, allowing precise extraction of elements based on multiple conditions.

This is powerful because it allows targeted data extraction, even from complex or inconsistent HTML structures.",B2 K3 S15 S14 B4 K11," - "," - "," - "," - "
26/11/2025,3:00 PM,3:45 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how to traverse the HTML structure of a web page using BeautifulSoup. By accessing tags directly (e.g., soup.h1), I can retrieve specific elements. I practiced navigating down the tree using .children to loop through child elements, such as the  tags in a recipe list. I also explored navigating up the tree using .parents, which allows me to see the container tags that hold a particular element, such as , , and .

This skill is essential for extracting structured information from web pages, especially when data is nested or hierarchically organized. Understanding both child and parent relationships enables me to pinpoint relevant content efficiently.",S14 K3 K11 S15 B2 B4," - "," - "," - "," - "
26/11/2025,2:15 PM,3:00 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how BeautifulSoup parses HTML into structured objects, specifically Tags and NavigableStrings. Tags correspond to the HTML elements themselves, and I practiced accessing the first occurrence of a tag using the BeautifulSoup object. I also learned to retrieve the tag’s name with .name and its attributes as a dictionary using .attrs.

I gained an understanding of NavigableStrings, which represent the text contained within tags, and learned to extract the string using .string. This allows me to separate HTML structure from the actual content, enabling more precise data extraction.

This learning improves my ability to extract specific elements and content from web pages accurately, which is essential for turning web data into structured formats suitable for analysis.",S14 K3 K10 K11 S15 B2 B4," - "," - "," - "," - "
26/11/2025,1:30 PM,2:15 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how to use Python’s BeautifulSoup library to parse HTML and extract specific elements from a webpage. This included converting raw HTML content into a BeautifulSoup object, which allows structured navigation of tags and elements.

I gained insight into different parser options, such as ""html.parser"", ""lxml"", and ""html5lib"", and why ""html.parser"" is a suitable choice for most basic HTML parsing tasks. I practised creating a BeautifulSoup object from both a local HTML file and content retrieved via a requests HTTP GET request.

This learning allows me to systematically extract relevant data from web pages, rather than working with messy raw HTML. It enhances my ability to transform web-based information into structured formats like DataFrames for analysis, making web scraping more efficient and actionable in a workplace context.",B4 K10 K11 S8 S14 S15 B2 K3," - "," - "," - "," - "
26/11/2025,11:45 AM,12:30 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how to use Python’s requests library to send an HTTP GET request and retrieve the HTML content of a webpage. This introduced me to the concept of making programmatic requests to a server and receiving structured data in response.

I gained insight into the difference between webpage.text and webpage.content, understanding how to access the HTML as a string versus raw content. I also practised retrieving HTML from a local file to simulate real-world web requests safely, without overloading external servers.

This learning allows me to programmatically acquire web-based data, which is essential as a first step in web scraping or extracting structured information for analysis in a workplace context.",S15 B2 B4 S8 K3 K10 K11," - "," - "," - "," - "
26/11/2025,11:00 AM,11:45 AM,45,Approved,Self-led Learning outside of EDUKATE,"I learned the importance of following ethical and legal guidelines when scraping data from websites. This included understanding the need to review a website’s Terms and Conditions and respecting restrictions on how scraped data can be used, particularly around non-commercial use.

I gained an improved understanding of how excessive or poorly managed requests can negatively impact a website’s performance. I learned best-practice guidance for rate limiting requests to avoid placing unnecessary load on servers.

This lesson also highlighted how changes in website structure can affect scraping code, reinforcing the need to monitor and maintain data collection processes over time.

In a workplace context, this learning supports my ability to source external data responsibly, minimise operational and reputational risk, and ensure that data acquisition methods remain compliant, sustainable, and respectful of third-party systems.",S1 K15 S8 S15 B1 B7 K3 K2 K1," - "," - "," - "," - "
26/11/2025,10:00 AM,11:00 AM,60,Approved,Self-led Learning outside of EDUKATE,"I learned how to use Chrome Developer Tools to inspect and explore the structure and behaviour of modern web pages. This introduced me to examining HTML and CSS through the Elements tab and understanding how the Document Object Model (DOM) represents webpage structure.

I gained insight into how JavaScript can be inspected and tested in real time using the Console, and how browser error messages can be used to identify issues with scripts or missing resources.

I also learned how to use the Network tab to view metadata about web requests, including request methods, status codes, resource types, file sizes, and load times. This improved my understanding of how web pages request and receive data from servers.

In a workplace context, this learning supports my ability to identify where data on a webpage originates, assess how it is retrieved, and troubleshoot access issues, which is essential when sourcing data for analysis or preparing to scrape data responsibly and efficiently.",S12 S8 K11 K10 K7 K3 B4 B2 S15," - "," - "," - "," - "
26/11/2025,9:00 AM,10:00 AM,60,Approved,Self-led Learning outside of EDUKATE,"I learned how HTTP underpins communication between a client and a server, and how HTTP requests and responses are structured, including request lines, headers, optional bodies, and status codes.

This lesson gave me a clear introduction to the different HTTP request methods (such as GET, POST, PUT, and DELETE) and when each should be used. I also learned how a browser resolves a URL using DNS, establishes a TCP connection, and sends an HTTP request to retrieve a resource.

I gained an improved understanding of the difference between HTTP and HTTPS, including how HTTPS uses SSL/TLS encryption to protect data in transit and verify server identity. This has increased my awareness of security considerations when accessing or collecting data from the web.

In a workplace context, this learning supports my ability to understand how data is retrieved from web sources or APIs, helping me make informed decisions when sourcing external data for analysis and ensuring that data is accessed securely and appropriately.",S15 K1 K2 K3 K10 K15 S1 S8 B1 B4," - "," - "," - "," - "
19/11/2025,3:00 PM,3:45 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how Python uses a default string representation when printing objects, and why this output is often not helpful for debugging or understanding program state.

This lesson introduced me to the __repr__() dunder method and how it can be implemented to define a meaningful, human-readable string representation of an object. I learned that __repr__() must return a string and can use instance variables to represent the object clearly.

This has improved my confidence in debugging object-oriented code. I am now able to customise how objects are displayed during logging or testing, making it easier to trace values and understand program behaviour.

In a workplace context, this learning supports clearer debugging and more readable outputs when working with analytical objects, improving maintainability and collaboration when reviewing code or troubleshooting issues.",B5 K3 K6 K11 S12 S15 B4," - "," - "," - "," - "
19/11/2025,2:15 PM,3:00 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned that everything in Python is treated as an object, including built-in data types such as lists, strings, and dictionaries. This gave me an introduction to Python’s object model and how user-defined and built-in objects share common behaviours.

I learned how attributes can be added to objects dynamically after instantiation, and how the dir() function can be used to inspect an object’s available attributes and methods at runtime. This improved my understanding of how Python automatically provides internal attributes and methods through dunder methods.

This has given me a better understanding of how to explore unfamiliar objects and data structures programmatically. I am now more confident in investigating the capabilities of objects when working with new libraries or datasets.

In a workplace context, this learning supports my ability to quickly understand and work with new data types, tools, or APIs by inspecting their attributes and methods, reducing reliance on trial-and-error or incomplete documentation.",K6 K11 S4 B2 S15 B4 K3," - "," - "," - "," - "
19/11/2025,1:30 PM,2:15 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how constructors can be used to create instance variables at the point an object is created, ensuring that each object is initialised with a consistent and rigid data structure.

This improved my understanding of why objects can be more appropriate than dictionaries when modelling structured data, particularly when the data must always follow the same format. I learned how instance variables can be combined with class variables inside methods to produce meaningful outputs.

This has given me a better understanding of how object-oriented design supports cleaner, more maintainable code. I am now more confident in creating classes that represent real-world entities, where data and related logic are encapsulated together.

In a workplace context, this learning supports my ability to model structured analytical entities (such as records or reference data) and apply consistent transformations, which is useful when building repeatable data processing or feature engineering logic.",K6 K3 S15 B2 B4 S4 K11 K10," - "," - "," - "," - "
19/11/2025,11:45 AM,12:30 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how both instance variables and class variables are treated as attributes in Python, and how attempting to access a non-existent attribute results in an AttributeError.

This introduced me to safer ways of working with object attributes using the built-in hasattr() and getattr() functions. I learned how to check whether an attribute exists before using it, and how to supply default values to prevent runtime errors when an attribute may not be present.

This has improved my confidence in writing more defensive and resilient code. I am now able to safely interact with objects that may not always have consistent attributes, reducing the risk of errors during execution.

In a workplace context, this learning supports my ability to work with dynamic or partially complete data objects, for example when handling optional fields or inconsistent records within data analysis workflows.",K8 S4 S6 B6 B5 S15 K3 K6 K11," - "," - "," - "," - "
19/11/2025,11:00 AM,11:45 AM,45,Approved,Self-led Learning outside of EDUKATE,"I learned the distinction between a class definition and individual object instances, specifically how instance variables store data that is unique to each object rather than shared across the class.

This improved my understanding of how multiple objects created from the same class can hold different values while still using the same structure and behaviour. I learned how instance variables are dynamically assigned to objects and accessed using attribute notation.

This has given me a clearer understanding of object state and how data is encapsulated at an object level. I am now more confident in designing classes where each object represents a unique record or entity, with its own associated data.

In a workplace context, this supports my ability to model real-world data entities in code, such as representing individual customers, records, or observations, which is directly applicable when building reusable data analysis components.",S4 K3 K4 K6 K11 S15 B3 B4," - "," - "," - "," - "
19/11/2025,10:15 AM,11:00 AM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how special “dunder” methods in Python behave differently from regular methods, with a specific focus on the __init__() constructor and its role in object instantiation.

This gave me an introduction to how objects are automatically initialised when a class is instantiated, and how parameters can be passed into the constructor to configure an object at creation time. I learned that the constructor can also be used to validate inputs before applying logic, such as checking data types.

This has improved my understanding of how object state and behaviour are set up consistently and safely when working with classes. I am now more confident in designing classes that initialise required values and enforce basic validation rules at the point of creation.

In a workplace context, this learning supports my ability to build more robust and reusable analytical code, for example by creating data-processing objects that initialise with validated inputs, reducing the risk of downstream errors in analysis pipelines.",K11 B4 B2 S15 S4 K3 K6," - "," - "," - "," - "
19/11/2025,9:30 AM,10:15 AM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how methods within a Python class can accept parameters in addition to self, and how self is implicitly passed when a method is called on an object.

This introduced me to how object instances access class attributes and use them within methods, specifically how a method can combine an input argument with stored class-level data to produce a calculated output.

This has given me a better understanding of how to structure reusable and modular code, and how objects encapsulate both data and behaviour. I am now more confident in defining simple classes and methods that perform calculations based on user input.

In a workplace context, this learning supports my ability to build cleaner, reusable analytical code (for example, utility classes for transformations or calculations), improving maintainability and consistency within data analysis workflows.",B4 B2 S15 S4 K11 K6 K3," - "," - "," - "," - "
27/11/2025,12:00 PM,3:30 PM,210,Approved,Live Sessions,"In the workshop, I learned how to move beyond basic plotting to fully customise visual outputs by modifying axes, labels, annotations, and colour palettes to suit the domain context. I also developed a deep insight into advanced visualisation techniques using Python libraries (Pandas, Matplotlib, and Seaborn). I gained an introduction to creating complex multi-plot grids using FacetGrid and how to visualise statistical relationships through correlation heatmaps and regression plots. This has enhanced my ability to transform raw data into accessible insights and allows me to select the most appropriate visualisation technique to effectively communicate data stories to stakeholders.

I plan to immediately apply these skills to build a performance dashboard for my team’s recurring 6-weekly task. This training has improved my confidence in approaching this task; I plan to use visualisation to explicitly demonstrate how changes to sub-stages have impacted run times over different cohorts. In particular the detailed Further Customisations gave me insights into the breadth of options available, and insight into the level of detail required when approaching these problems. This will allow me to uncover unexpected insights and communicate efficiency improvements to stakeholders more effectively.",B5 S13 S12 S10 K7 K13 S5 K14 B4 S15 S14," - "," - "," - "," - "
12/11/2025,2:00 PM,2:30 PM,30,Approved,Self-led Learning on EDUKATE,"I learned how Seaborn simplifies the visualisation of statistical relationships through functions such as regplot() for linear regression, heatmap() for correlation matrices, and catplot() for grouped numerical data. I did this by completing reading about advanced data visualisation techniques using the Seaborn library, focusing on visualising complex numerical and multivariate data. I also explored how jointplot() and pairplot() can be used to analyse multiple relationships between variables simultaneously.
This reading deepened my understanding of how visualisation supports statistical analysis - particularly in identifying trends, relationships, and outliers. I also gained practical insights into when to use different plot types based on the structure of the dataset and the analytical goal, for example using regression plots to explore predictive relationships or heatmaps to highlight correlations across large datasets.
The session enhanced both my technical skills and analytical thinking, helping me to communicate complex data more effectively to technical and non-technical audiences alike.",K6 B4 S15 S14 S13 K14 K13," - "," - "," - "," - "
12/11/2025,1:30 PM,2:00 PM,30,Approved,Self-led Learning on EDUKATE,"I learned how effective use of labels, colours, and annotations improves both the clarity and accessibility of visualisations. I did this by completing reading about key design principles for creating impactful data visualisations using Matplotlib. Specifically, I gained a stronger understanding of how descriptive titles, axis labels, and legends provide essential context for interpreting charts. I also learned how thoughtful colour selection - including sequential and diverging colour schemes - can enhance understanding while maintaining accessibility for colour-deficient audiences.
Additionally, I explored how annotations, such as arrows and text labels, can draw attention to key data points and trends without cluttering the visualisation.
This activity has improved my confidence in designing clear, accurate, and inclusive visualisations that communicate insights effectively. I now better appreciate how design decisions directly affect user interpretation and engagement with data.",B7 K7 K13 K14 S5 S14 S15 B4," - "," - "," - "," - "
12/11/2025,1:00 PM,1:30 PM,30,Approved,Self-led Learning on EDUKATE,"I learned the key differences between Python data visualisation libraries - including their levels of customisation, complexity, interactivity, and suitability for different analytical needs. I did this by I completing reading that was focused on Matplotlib, Seaborn, Plotly, Altair, and Bokeh. I gained a better understanding of when to use Matplotlib for fully customisable plots versus Seaborn for faster, aesthetically pleasing statistical visualisations. I also learned how interactive libraries such as Plotly and Bokeh can be valuable for dashboards and web-based reporting.
This activity improved my ability to select the most appropriate visualisation tool for specific data and audience requirements. It also highlighted the importance of evaluating open-source libraries for their documentation quality, maintenance, and licensing - knowledge that will help ensure reliable and ethical tool use within my organisation’s data workflows.
I now feel more confident in making informed decisions about which Python visualisation library to use depending on project complexity, interactivity needs, and presentation goals.",K6 K7 K8 K14 K15 S15 B4," - "," - "," - "," - "
12/11/2025,12:30 PM,1:00 PM,30,Approved,Self-led Learning on EDUKATE,"I learned how the type of data (categoric vs numeric) and the target audience both influence the choice of visualisation. I gained a clearer understanding of when to use charts such as bar charts, pie charts, histograms, scatter plots, and line plots to effectively communicate insights. I did this by reading and reflecting on the resource Choosing the Correct Visualisation.
This activity also helped me appreciate how poor visualisation choices can mislead an audience or obscure key findings, reinforcing the importance of designing visuals that are clear, accurate, and tailored to the viewer’s needs.
I now feel more confident in selecting the most appropriate visualisation techniques and tools for different datasets, and in adapting visuals for both technical and non-technical audiences. This understanding will improve how I communicate data insights within my role.",K7 K13 K14 S5 S14 S15 B4," - "," - "," - "," - "
12/11/2025,9:00 AM,12:30 PM,210,Approved,Live Sessions,"I learned how different chart types such as bar charts, boxplots, heatmaps, and violin plots can highlight distinct aspects of a dataset and influence how insights are interpreted by different audiences. I gained a stronger understanding of how visual design choices affect user experience and the clarity of communication in data analytics.
Through hands-on exercises, I applied descriptive statistical methods - including measures of central tendency and variability - to interpret data distributions and identify trends. I also improved my ability to use tools such as Pandas, Matplotlib, and Seaborn to create effective and meaningful visualisations.
This workshop has given me greater confidence in selecting appropriate visualisation techniques for various analytical goals and audiences, and in interpreting visual outputs both statistically and contextually.",K13 B4 S15 S14 K7 S10 S5 K14," - "," - "," - "," - "
22/10/2025,2:45 PM,3:30 PM,45,Approved,Self-led Learning on EDUKATE,"I learned that pandas provides a simplified .plot() method to create scatterplots, histograms, bar charts, line charts, and boxplots directly from DataFrames, reducing the amount of code needed to visualise data. I did this by reading about Python data visualisation libraries, focusing on Matplotlib, pandas, and Seaborn, and how they can be used to explore and communicate insights from data.

I also learned that Matplotlib is the underlying library that handles plotting, and it allows fine-grained control of figure elements such as titles, axes, labels, and annotations to improve clarity and presentation. Additionally, I explored Seaborn, a high-level interface for Matplotlib, which simplifies creating attractive statistical plots, including violin plots, regression plots, and heatmaps. I now understand how to use these libraries to visualise distributions, correlations, and relationships between variables effectively.

This has improved my confidence in applying Python visualisation tools to explore datasets, interpret patterns, and present insights clearly for different audiences.",S15 S14 K7 B4," - "," - "," - "," - "
22/10/2025,2:00 PM,2:45 PM,45,Approved,Self-led Learning on EDUKATE,"I learned that visual EDA helps identify patterns, relationships, and potential issues in data more effectively than reviewing raw numbers alone. I did this by reading about Visual Exploratory Data Analysis (EDA) and the different methods for exploring data systematically using graphical techniques.

I gained insight into univariate analysis, which examines a single variable using charts such as histograms, bar charts, pie charts, line charts, Pareto charts, boxplots, and word clouds to summarise distributions and identify trends. I also learned about bivariate analysis, which examines the relationship between two variables using scatterplots, side-by-side bar charts, and boxplots, helping to detect correlations and potential cause-effect relationships.

This has improved my understanding of how to select and apply the most appropriate visualisation techniques for different types of data and analysis objectives. I can now confidently use visual EDA to explore datasets, highlight patterns, and communicate insights clearly.",S2 K8 K7 B4 S14," - "," - "," - "," - "
22/10/2025,12:15 PM,1:00 PM,45,Approved,Self-led Learning on EDUKATE,"I learned that correlation measures the strength and direction of linear relationships between two variables, ranging from –1 (strong negative) to +1 (strong positive), with values near 0 indicating weak or no correlation. I did this by reading about key statistical concepts that support interpreting data and visualisations: correlation, normal distribution, skewness, and outliers.

I also learned about normal distributions (bell curves), where mean, median, and mode are equal and most data falls within predictable ranges based on standard deviation. I gained insight into skewed distributions, where asymmetry indicates positive or negative skewness, which can highlight underlying patterns or anomalies in data.

Additionally, I learned about outliers—extreme values that can distort the mean and affect statistical analysis. I now understand multiple methods to identify outliers, including sorting, visualisation (scatterplots, boxplots, histograms), the standard deviation rule, and the interquartile range (IQR) rule. This has improved my understanding of how to interpret datasets accurately and identify potential data quality issues before analysis.",B4 S14 K13 K8 S10," - "," - "," - "," - "
22/10/2025,11:30 AM,12:15 PM,45,Approved,Self-led Learning on EDUKATE,"I learned that datasets with nearly identical summary statistics—mean, standard deviation, correlation, and regression coefficients—can reveal very different patterns when plotted visually. I did this by I reading about the importance of visualising data before conducting further analysis, using Anscombe’s Quartet as an example. By exploring the four datasets, I gained insight into how outliers, non-linear trends, and categorical behaviours can dramatically influence interpretation, even when summary statistics appear consistent.

This has improved my understanding of why visualisation is a critical early step in the Data Analytics Lifecycle. I now appreciate that visualising data helps identify errors, understand data structure, and uncover insights that numeric summaries alone might obscure, reinforcing the value of iterative analysis and careful exploration before modelling.",B4 K3 K8 S14 B7," - "," - "," - "," - "
22/10/2025,10:45 AM,11:30 AM,45,Approved,Self-led Learning on EDUKATE,"I learned how breaking down complex problems into structured stages—understand the problem, collect data, pre-process/clean/mine, visualise, pick a model, train, and evaluate & optimise—supports efficient, rigorous, and repeatable analysis. I did this by reading about the Data Analytics Lifecycle and its seven-step framework for approaching analytics projects.

I gained insight into how following the lifecycle helps manage time and costs, ensures data quality and validity at each step, and allows analytics processes to scale across teams. I now understand how each stage contributes to producing accurate, actionable insights, from defining the problem and identifying stakeholders, to collecting and cleansing relevant data, visualising patterns, selecting and training models, and optimising solutions. This has improved my confidence in planning, managing, and executing analytics projects systematically.",S2 K9 K3 B4 S14," - "," - "," - "," - "
22/10/2025,10:00 AM,10:45 AM,45,Approved,Self-led Learning on EDUKATE,"I learned that well-designed visualisations can clarify insights, highlight key messages, and engage the audience effectively. I did this by reading a guide on creating effective data visualisations and common mistakes to avoid. I gained insight into how to choose visual types based on the purpose—such as showing comparisons, relationships, compositions, or correlations—and how audience knowledge should guide design choices.

I also learned about best practices for colour and font selection, including using colourblind-friendly palettes, readable fonts, and consistent formatting to improve clarity and comprehension. Additionally, I learned common pitfalls to avoid, such as overloading visuals with information, misusing 3D graphics, and using inappropriate chart types like complex pie charts. This has improved my understanding of how to communicate data clearly and responsibly, and how to design visualisations that are accessible, accurate, and impactful for the intended audience.",K7 S14 B1 B4 K8," - "," - "," - "," - "
15/10/2025,12:15 PM,1:00 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how to write data to a JSON file in Python using the json module and the 'w' argument with the open() function. I learned that opening a file with 'w' overwrites any existing content, and that the json.dump() function can be used to write Python objects, such as dictionaries or lists, to a JSON file in a structured format. This has improved my understanding of exporting hierarchical and structured data for storage or sharing, and I can now confidently save processed data in JSON format for further analysis or use in applications.",B4 K3 K5 S2 S15," - "," - "," - "," - "
15/10/2025,11:30 AM,12:15 PM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how to use Python’s json module to open and read JSON files. I learned that JSON is a structured format for storing data, and the json module allows me to parse this data into Python dictionaries for analysis. This has improved my understanding of handling structured, hierarchical data formats and has enhanced my ability to work with datasets from APIs or other sources that use JSON. I can now confidently read, interpret, and process JSON data in Python.",B4 K3 K5 S2 S15," - "," - "," - "," - "
